freq	siec	plant_tec	operator	unit	geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A	CF	CAP_NET_ELC	PRR_MAIN	MW	LU	6	6	6	6	6	6	10	10	8	8	46.862	63.083	439.083	439.083	439.442	440.068	439.172	438.962	440.025	440.65	443.419	462.816	462.816	466.871	464.921	451.686	61.301	72.201	75.658	95.42	94.63	89.976	86.793	101.56
A	CF	CAP_NET_ELC	PRR_MAIN	MW	LV	520	520	520	520	520	520	520	520	540	545	546	552	562	566	568	576	563	558	575	921	935	944	984	1205	1224	1234	1251	1267.972	1239.323	1240.706	1242.552	1239.282	1206.522	1133.267
A	CF	CAP_NET_ELC	PRR_MAIN	MW	MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	361.5	361.4
A	CF	CAP_NET_ELC	PRR_MAIN	MW	ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	210	210	210	210	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225
A	CF	CAP_NET_ELC	PRR_MAIN	MW	MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1083	1104	1104	1074	1078	1109	1111	1111	1111.6	1111.6	1321.6	1322.997	1326
A	CF	CAP_NET_ELC	PRR_MAIN	MW	MT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	571	571	571	571	571	620	620	620	590	475	590	590	590	590	590	498	484
A	CF	CAP_NET_ELC	PRR_MAIN	MW	NL	14719	14443	14348	14302	15133	15695	17461	17124	16562	16974	17316	16963	17204	16916	17194	17239	17293	17143	17476	18336	18993	19609	21203	21390	22092	20620.823	20444.823	18859.513	18857.663	18166.893	17770.034	17771.767	17724.057	17711.765
A	CF	CAP_NET_ELC	PRR_MAIN	MW	NO	: 	89	89	89	89	67	67	67	66	107	107	195	119	132	132	137	128	525	526	529	982	1013	1058	1047	1010	1010	520	535	521	522	402	439	289	186
A	CF	CAP_NET_ELC	PRR_MAIN	MW	PL	23632	24048	24246	24723	25344	25183	25523	25810	26001	26573	26485	26490	26684	27265	27501	27762	27821	27921	28194	28329	28115	28678	28600	28226	27942	27934	27895	31928.875	31219.964	30526.2	33638.226	32937.214	29780.418	29709.232
A	CF	CAP_NET_ELC	PRR_MAIN	MW	PT	3532	3559	3852	3877	3889	4215	4222	4229	4434	5194	5164	5188	5238	5532	6015	5971	6370	6253	6270	7167	8051	8051	7357	6409	6205	6205	6209	6205.39	6208.431	6280.654	6278.362	5098.362	4524.793	4524.7
