DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2016,8.744,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2017,9.136,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2018,9.472,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2019,9.929,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2020,13,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2021,13.076,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2022,13.816,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2023,14.741,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2004,9.231,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2005,9.173,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2006,9.415,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2007,9.098,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2008,10.345,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2009,12.005,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2010,13.927,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2011,14.152,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2012,15.837,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2013,18.898,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2014,18.05,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2015,18.261,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2016,18.76,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2017,18.695,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2018,20.581,,
