DATAFLOW,LAST UPDATE,freq,siec,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2018,4.814,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2019,1.666,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2020,2.200,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2021,3.864,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2022,2.807,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,BG,2023,2.514,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2004,0.665,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2005,0.604,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2006,0.570,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2007,0.606,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2008,0.467,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2009,0.377,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2010,0.458,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2011,0.351,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2012,0.484,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2013,0.594,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2014,0.356,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2015,0.403,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2016,0.475,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2017,0.407,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2018,0.436,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2019,0.438,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2020,0.447,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2021,0.478,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2022,0.423,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,DE,2023,0.489,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2004,0.821,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2005,0.604,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2006,0.648,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2007,0.728,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2008,0.684,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2009,0.710,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2010,0.892,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2011,0.659,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2012,0.690,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2013,0.810,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2014,0.812,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2015,0.659,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2016,0.776,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EA20,2017,0.508,,
