STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2018,,86.32,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2019,,86.25,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2020,,73.73,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2021,,80.00,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2022,,81.10,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,ES,Spain,2023,,80.58,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2014,,918.99,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2015,,939.93,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2016,,959.26,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2017,,970.92,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2018,,974.05,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2019,,968.67,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2020,,891.32,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2021,,947.67,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2022,,921.49,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EU27_2020,European Union - 27 countries (from 2020),2023,,893.68,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2014,,24.04,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2015,,23.69,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2016,,24.67,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2017,,24.81,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2018,,25.23,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2019,,25.07,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2020,,22.96,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2021,,24.36,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2022,,22.90,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FI,Finland,2023,,22.23,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2014,,142.02,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2015,,145.35,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2016,,147.64,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2017,,146.58,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2018,,144.86,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2019,,143.40,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2020,,128.01,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2021,,139.22,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2022,,135.16,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,FR,France,2023,,129.73,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2014,,3.88,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2015,,3.99,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2016,,4.24,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2017,,4.31,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2018,,4.26,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2019,,4.37,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2020,,4.25,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2021,,4.74,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,GE,Georgia,2022,,5.04,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2014,,6.24,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2015,,6.59,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2016,,6.64,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2017,,6.93,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2018,,6.85,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2019,,6.91,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2020,,6.47,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2021,,6.97,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2022,,6.89,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HR,Croatia,2023,,7.11,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2014,,15.95,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2015,,17.00,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2016,,17.47,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2017,,18.09,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2018,,18.12,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2019,,18.24,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2020,,17.69,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2021,,18.89,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2022,,18.14,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,HU,Hungary,2023,,16.76,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2014,,10.90,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2015,,11.32,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2016,,11.75,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2017,,11.84,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2018,,12.39,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2019,,12.37,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2020,,11.18,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2021,,11.41,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2022,,11.91,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IE,Ireland,2023,,12.00,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2014,,2.93,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2015,,3.07,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2016,,3.11,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2017,,3.23,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2018,,3.51,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2019,,3.25,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2020,,2.96,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2021,,3.14,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2022,,3.30,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IS,Iceland,2023,,3.36,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2014,,111.92,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2015,,115.27,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2016,,114.85,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2017,,114.38,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2018,,115.54,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2019,,114.59,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2020,,102.08,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2021,,113.76,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2022,,110.87,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,IT,Italy,2023,,108.70,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2014,,4.88,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2015,,4.86,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2016,,5.10,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2017,,5.34,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2018,,5.57,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2019,,5.56,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2020,,5.31,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2021,,5.66,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2022,,5.39,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LT,Lithuania,2023,,5.32,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2014,,4.00,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2015,,3.99,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2016,,4.04,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2017,,4.18,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2018,,4.35,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2019,,4.39,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2020,,3.81,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2021,,4.06,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2022,,3.67,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LU,Luxembourg,2023,,3.51,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2014,,3.89,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2015,,3.79,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2016,,3.82,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2017,,4.01,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2018,,4.18,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2019,,4.08,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2020,,3.86,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2021,,4.06,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2022,,3.93,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2023,,3.90,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2014,,2.32,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2015,,2.38,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2016,,2.49,,,,,
