DATAFLOW,LAST UPDATE,freq,network,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,FI,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,FR,2021,900.500,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,FR,2022,1121.580,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,FR,2023,1102.150,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,GE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,GE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,GE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HR,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HR,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HR,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HU,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HU,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,HU,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IS,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IS,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IT,2021,68.593,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IT,2022,98.302,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,IT,2023,94.059,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LU,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LU,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LU,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LV,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LV,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,LV,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MD,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MD,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MD,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,ME,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,ME,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,ME,2023,0.000,,
