freq,siec,plant_tec,operator,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,AT	996.000 	1003.000 	1003.000 	1019.000 	1108.000 	1106.000 	1111.000 	1108.000 	1065.000 	1071.000 	1072.000 	1201.000 	1193.000 	1188.000 	1215.000 	1213.000 	1225.000 	1272.000 	1373.000 	1566.000 	1763.000 	1839.000 	1814.000 	1844.000 	1723.000 	1701.000 	1712.000 	1341.011 	1288.054 	1784.427 	1828.885 	2169.113 	1809.963 	1846.556 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	69.000 	69.990 	71.070 	69.990 	78.090 	78.090 	78.090 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,BE	745.000 	762.000 	754.000 	728.000 	666.000 	666.000 	625.000 	627.000 	622.000 	643.000 	440.000 	414.000 	408.000 	406.000 	401.000 	490.000 	494.000 	549.000 	963.000 	1081.000 	1125.000 	1157.000 	1286.000 	1351.000 	1399.000 	1321.000 	1228.100 	1345.000 	1418.200 	1615.800 	1681.000 	1703.600 	1880.700 	1800.200 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	896.000 	392.000 	545.000 	415.000 	459.000 	340.000 	270.000 	263.000 	213.000 	192.000 	181.000 	47.000 	56.000 	51.000 	63.000 	65.000 	60.000 	137.000 	187.000 	234.396 	234.417 	160.770 	155.458 	171.050 	357.255 	357.255 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6.000 	6.000 	6.000 	16.000 	22.000 	35.000 	32.000 	32.000 	36.000 	36.000 	36.000 	32.000 	41.000 	37.000 	37.120 	36.918 	29.718 	29.718 	30.218 	29.838 	28.480 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,CZ	1880.000 	1914.000 	1827.000 	1708.000 	1609.000 	1501.000 	1825.000 	1822.000 	1917.000 	2160.000 	2278.000 	2316.000 	2133.000 	2050.000 	2082.000 	2135.000 	2198.000 	2190.000 	1995.000 	2028.000 	1691.000 	1713.000 	1715.000 	1713.000 	1690.000 	1685.000 	1702.000 	1752.000 	1744.774 	1741.046 	1636.149 	1604.996 	1597.996 	1632.123 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,DE	12809.000 	16336.000 	15408.000 	14916.000 	15044.000 	14703.000 	12659.000 	11572.000 	11276.000 	10851.000 	10002.000 	10333.000 	10020.000 	7883.000 	7531.000 	8003.000 	8163.000 	8208.000 	9489.000 	9454.000 	9472.000 	9371.000 	6737.000 	9296.000 	9456.000 	10415.000 	10307.000 	11310.000 	11729.000 	10954.000 	10954.000 	11063.000 	11700.000 	11476.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,DK	160.000 	138.000 	156.000 	179.000 	238.000 	300.000 	344.000 	439.000 	450.000 	515.000 	540.000 	546.000 	570.000 	604.000 	634.000 	636.000 	625.000 	636.000 	656.000 	647.000 	636.000 	632.000 	630.000 	574.000 	616.000 	615.206 	618.936 	629.895 	640.558 	570.201 	562.854 	566.541 	554.666 	540.899 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,EA20	32519.000 	36397.000 	35593.000 	36007.000 	36955.000 	37433.000 	36765.000 	39109.000 	41669.000 	40563.000 	27374.000 	28301.523 	29026.746 	27505.389 	32252.371 	33054.861 	34178.261 	35171.650 	38072.104 	39146.970 	39565.565 	39685.741 	35723.506 	38202.125 	38097.600 	39287.527 	39035.957 	40551.259 	41728.105 	41613.162 	41796.537 	46802.143 	47576.975 	47094.785 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	27.000 	27.000 	27.000 	28.000 	31.000 	30.000 	31.000 	26.000 	28.000 	28.000 	17.000 	21.000 	19.000 	19.000 	17.000 	17.000 	25.000 	25.000 	25.000 	25.000 	23.000 	23.000 	23.000 	31.000 	28.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,EL	197.000 	214.000 	214.000 	217.000 	218.000 	218.000 	218.000 	218.000 	218.000 	224.000 	214.000 	218.000 	218.000 	246.000 	259.000 	257.000 	242.000 	176.000 	526.000 	542.000 	522.000 	540.000 	522.000 	527.000 	505.000 	561.000 	568.000 	570.560 	574.000 	578.610 	587.147 	596.248 	615.004 	633.703 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,ES	745.000 	750.000 	750.000 	750.000 	1458.000 	2000.000 	2226.000 	3126.000 	4133.000 	4433.000 	4740.000 	5109.000 	5924.000 	6481.000 	6528.000 	6575.000 	6622.000 	6669.000 	6716.000 	6763.000 	6810.000 	6856.000 	6806.000 	6856.000 	6856.000 	6127.000 	6157.000 	6157.000 	6098.000 	5979.000 	5953.403 	5929.485 	5920.941 	5871.698 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,EU27_2020	37968.000 	41822.000 	41226.000 	41659.000 	42156.000 	42416.000 	42095.000 	44636.000 	48004.000 	46764.000 	33776.000 	34658.523 	35316.746 	33732.389 	38446.371 	39826.861 	41304.261 	42206.650 	44658.104 	45612.970 	45682.565 	46042.741 	42755.506 	46034.125 	44795.600 	46295.733 	45804.893 	49329.274 	51272.819 	50572.142 	50704.480 	55859.565 	56938.905 	56549.885 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,FI	1779.000 	1864.000 	1838.000 	1924.000 	1918.000 	1965.000 	2080.000 	2254.000 	2327.000 	2270.000 	2270.000 	2270.000 	2270.000 	2270.000 	2270.000 	2270.000 	2270.000 	2250.000 	1932.000 	1893.000 	1908.000 	1864.000 	1859.000 	1874.000 	1874.000 	1850.000 	1846.000 	2039.000 	2038.000 	2035.000 	2006.000 	1940.000 	1970.000 	2018.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,FR	6511.000 	6458.000 	6215.000 	6227.000 	6319.000 	6319.000 	6722.000 	8118.000 	8245.000 	6497.000 	4427.000 	4313.000 	4442.000 	4358.000 	4314.000 	4586.000 	4584.000 	4540.000 	4278.000 	4138.000 	4083.000 	3797.833 	3889.816 	3833.879 	3725.970 	3658.705 	3737.425 	3593.617 	3635.405 	3788.111 	3704.840 	3562.898 	3679.318 	3672.054 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	204.900 	204.900 	204.900 	207.400 	207.400 	207.400 	207.400 	193.400 	149.900 	155.700 	155.700 	155.700 	156.900 	162.000 	162.000 	162.000 	137.500 	137.500 	136.300 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,HU	211.000 	213.000 	215.000 	361.000 	209.000 	187.000 	186.000 	182.000 	206.000 	216.000 	198.000 	196.000 	196.000 	185.000 	189.000 	135.000 	135.000 	135.000 	119.000 	123.000 	148.000 	167.000 	101.000 	156.000 	172.000 	206.000 	222.000 	253.000 	251.000 	286.000 	274.000 	285.000 	398.000 	389.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,IE	69.000 	70.000 	74.000 	88.000 	91.000 	93.000 	93.000 	102.000 	104.000 	96.000 	128.000 	128.000 	131.000 	136.000 	142.000 	145.000 	262.000 	288.562 	291.380 	301.067 	307.983 	326.887 	331.348 	335.803 	340.917 	343.247 	344.921 	349.825 	356.315 	363.774 	367.070 	370.875 	371.270 	369.240 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,IT	5687.000 	5692.000 	5981.000 	6643.000 	6740.000 	6911.000 	7921.000 	8769.000 	9923.000 	10509.000 	0.000 	0.000 	0.000 	0.000 	4566.000 	4523.000 	4529.000 	4383.000 	5253.000 	5810.000 	5861.000 	5476.000 	3941.000 	4069.000 	3853.000 	5042.000 	4658.000 	4862.710 	5347.074 	5255.647 	4990.759 	9730.694 	9984.336 	9796.624 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,LT	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	39.000 	41.000 	41.000 	41.000 	39.000 	37.000 	36.000 	191.000 	188.000 	195.000 	198.000 	249.000 	247.000 	245.000 	248.000 	249.000 	253.000 	255.000 	255.000 	257.000 	257.000 	256.000 	256.000 	256.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,LU	100.000 	100.000 	100.000 	100.000 	100.000 	111.000 	125.000 	125.000 	50.000 	63.000 	23.000 	26.523 	37.746 	45.389 	48.371 	48.961 	51.361 	52.188 	56.324 	59.503 	61.182 	57.621 	58.942 	58.543 	59.013 	61.956 	76.546 	55.288 	52.091 	53.301 	43.458 	44.264 	58.153 	73.505 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,LV	83.000 	81.000 	18.000 	15.000 	11.000 	40.000 	49.000 	55.000 	41.000 	44.000 	31.000 	23.000 	27.000 	27.000 	27.000 	28.000 	27.000 	13.000 	16.000 	16.000 	16.000 	21.000 	39.000 	50.000 	41.000 	41.000 	41.340 	31.097 	30.371 	29.026 	31.626 	28.818 	27.618 	26.212 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.900 	113.100 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.000 	3.000 	3.000 	3.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.000 	3.000 	3.000 	3.000 	3.000 	4.560 	4.560 	4.560 	4.560 	4.560 	5.760 	4.023 	4.023 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,NL	2241.000 	2476.000 	2481.000 	2620.000 	2516.000 	2500.000 	2093.000 	2148.000 	2749.000 	2750.000 	2754.000 	2381.000 	2431.000 	2505.000 	2959.000 	2728.000 	3455.000 	4239.000 	4574.000 	4747.000 	4750.000 	5361.000 	5315.000 	5130.000 	5194.000 	5166.919 	5453.365 	5969.145 	5989.938 	6010.579 	6490.977 	6534.043 	6661.076 	6673.958 
